,Unnamed: 0,date,index,Unnamed: 0.1,cum_sum_baseline,cum_sum_realized,effective_baseline_power,new_baseline_power,total_mined_reward,effective_network_time
131,131,2021-01-02,571477.9982511367,571477.9982511367,3.2159831245881874e+23,3.2159677249242246e+23,3.1009464322169667e+18,3.701924608410912e+18,2.152964243428911e+25,107426.13011542497
132,132,2021-01-03,574338.501048218,574338.501048218,3.27221471613629e+23,3.272199178248557e+23,3.1046542667194e+18,3.7089666695887503e+18,2.177306694748677e+25,109238.41299790356
133,133,2021-01-04,577196.4971969166,577196.4971969166,3.3289207342823776e+23,3.3289051855488376e+23,3.108393384265056e+18,3.716011505881129e+18,2.2016315049874768e+25,111063.79607568325
134,134,2021-01-05,580051.0,580051.0,3.3861817963651245e+23,3.386166172383616e+23,3.1121691006513644e+18,3.723077806804468e+18,2.2261825814892515e+25,112904.81961471104
135,135,2021-01-06,582907.4965010497,582907.4965010497,3.4439365790141866e+23,3.443921025449599e+23,3.11597737229887e+18,3.730154391690149e+18,2.250699054647215e+25,114759.455563331
136,136,2021-01-07,585766.5055944056,585766.5055944056,3.502196277811899e+23,3.5021807183933565e+23,3.119818937429011e+18,3.737242569763991e+18,2.2753558642930467e+25,116628.01013986014
137,137,2021-01-08,588627.0003495282,588627.0003495282,3.561122829402269e+23,3.561107193188065e+23,3.123704473923373e+18,3.744345465112704e+18,2.3001628207961337e+25,118515.6137714086
138,138,2021-01-09,591493.003483107,591493.003483107,3.620693621335448e+23,3.620677946914397e+23,3.1276324907478333e+18,3.751466429212569e+18,2.325566679172671e+25,120421.46952281435
139,139,2021-01-10,594355.4940434478,594355.4940434478,3.680744612350625e+23,3.680728481044697e+23,3.131592171245244e+18,3.758598034246701e+18,2.3511239307495413e+25,122340.26734407849
140,140,2021-01-11,597212.0017488633,597212.0017488633,3.7412972614894326e+23,3.74128161519228e+23,3.135584930395561e+18,3.765742977633829e+18,2.3765599924353707e+25,124272.63938440014
141,141,2021-01-12,600072.501048218,600072.501048218,3.802451569577636e+23,3.80243593226156e+23,3.139617362116935e+18,3.772900361699183e+18,2.40237989307052e+25,126221.71523410204
142,142,2021-01-13,602935.0003492839,602935.0003492839,3.8641285800908514e+23,3.864112845472917e+23,3.1436842601237647e+18,3.7800650649528863e+18,2.427673124384279e+25,128184.91756898358
143,143,2021-01-14,605796.4989510489,605796.4989510489,3.926397727529841e+23,3.926382012389864e+23,3.147790202832392e+18,3.787255462716776e+18,2.4530756677300828e+25,130164.393006993
144,144,2021-01-15,608653.9982486865,608653.9982486865,3.98916080385679e+23,3.989144931911923e+23,3.15192871453866e+18,3.794454785683536e+18,2.47868538703534e+25,132156.95831873905
145,145,2021-01-16,611512.502445842,611512.502445842,4.052491854881761e+23,4.052476147797702e+23,3.1561046777223603e+18,3.801665663290448e+18,2.504702914590536e+25,134164.9049615653
